kjønn,utdanning,erfaring,arbeidssted,arbeidssituasjon,fag,lønn,bonus?
mann,4,7,Agder,"in-house, privat sektor",AI / maskinlæring,865000,Nei
mann,5,2,Nordland,"in-house, offentlig/kommunal sektor",AI / maskinlæring,756000,Nei
mann,4,30,Oslo,konsulent,AI / maskinlæring,1500000,Nei
mann,5,25,Oslo,konsulent,AI / maskinlæring,1200000,Nei
mann,9,18,Oslo,"in-house, privat sektor",AI / maskinlæring,1200000,Nei
mann,2,14,Oslo,"in-house, privat sektor",AI / maskinlæring,839000,Nei
kvinne,5,9,Oslo,konsulent,AI / maskinlæring,1200000,Ja
mann,6,9,Oslo,"in-house, privat sektor",AI / maskinlæring,980000,Ja
annet / ønsker ikke oppgi,5,5,Oslo,"in-house, privat sektor",AI / maskinlæring,750000,Nei
mann,5,5,Oslo,konsulent,AI / maskinlæring,910000,Nei
mann,5,4,Oslo,konsulent,AI / maskinlæring,820000,Nei
mann,5,4,Oslo,konsulent,AI / maskinlæring,850000,Ja
mann,5,3,Oslo,konsulent,AI / maskinlæring,730000,Ja
mann,5,3,Oslo,"in-house, privat sektor",AI / maskinlæring,850000,Nei
mann,5,2,Oslo,"in-house, privat sektor",AI / maskinlæring,710000,Nei
mann,5,2,Oslo,"in-house, privat sektor",AI / maskinlæring,894000,Nei
kvinne,5,0,Oslo,"in-house, offentlig/kommunal sektor",AI / maskinlæring,732000,Nei
mann,0,4,Rogaland,konsulent,AI / maskinlæring,910000,Ja
mann,5,3,Rogaland,"in-house, privat sektor",AI / maskinlæring,900000,Ja
mann,5,1,Troms og Finnmark,"in-house, offentlig/kommunal sektor",AI / maskinlæring,640000,Nei
mann,5,23,Trøndelag,"in-house, privat sektor",AI / maskinlæring,1152000,Nei
mann,6,7,Trøndelag,"in-house, privat sektor",AI / maskinlæring,810000,Nei
mann,5,5,Trøndelag,konsulent,AI / maskinlæring,797000,Nei
mann,5,2,Trøndelag,konsulent,AI / maskinlæring,650000,Ja
mann,5,0,Trøndelag,konsulent,AI / maskinlæring,595000,Nei
mann,5,0,Trøndelag,konsulent,AI / maskinlæring,650000,Nei
mann,0,2,Vestland,"in-house, privat sektor",AI / maskinlæring,525000,Nei
mann,17,28,Viken,"in-house, privat sektor",AI / maskinlæring,1950000,Ja
mann,18,1,Viken,"in-house, privat sektor",AI / maskinlæring,660000,Ja
mann,5,8,Agder,"in-house, offentlig/kommunal sektor",annet,850000,Nei
mann,2,0,Agder,konsulent,annet,460000,Nei
mann,1,0,Innlandet,"in-house, privat sektor",annet,550000,Nei
mann,0,10,Nordland,konsulent,annet,550000,Nei
mann,5,27,Oslo,konsulent,annet,780000,Nei
mann,6,25,Oslo,konsulent,annet,1800000,Ja
mann,3,24,Oslo,"in-house, privat sektor",annet,920000,Nei
mann,6,23,Oslo,"in-house, privat sektor",annet,1326000,Nei
mann,3,22,Oslo,"in-house, privat sektor",annet,1370000,Ja
mann,1,20,Oslo,konsulent,annet,1500000,Ja
kvinne,5,19,Oslo,"in-house, privat sektor",annet,1170000,Ja
mann,8,17,Oslo,konsulent,annet,1300000,Nei
kvinne,5,16,Oslo,konsulent,annet,1100000,Nei
mann,6,16,Oslo,konsulent,annet,1210000,Ja
mann,5,14,Oslo,"in-house, privat sektor",annet,700000,Nei
mann,3,9,Oslo,"in-house, privat sektor",annet,1025000,Nei
kvinne,5,7,Oslo,konsulent,annet,850000,Ja
mann,5,7,Oslo,konsulent,annet,780000,Nei
mann,18,7,Oslo,konsulent,annet,1000000,Nei
mann,3,6,Oslo,konsulent,annet,900000,Nei
mann,3,5,Oslo,konsulent,annet,750000,Ja
mann,5,3,Oslo,konsulent,annet,870000,Nei
mann,3,2,Oslo,konsulent,annet,560000,Ja
mann,3,2,Oslo,konsulent,annet,590000,Nei
mann,5,2,Oslo,konsulent,annet,685000,Nei
mann,3,2,Oslo,"in-house, privat sektor",annet,700000,Nei
mann,7,2,Oslo,konsulent,annet,715000,Ja
mann,5,1,Oslo,konsulent,annet,750000,Ja
mann,5,28,Rogaland,"in-house, offentlig/kommunal sektor",annet,800000,Nei
mann,4,23,Rogaland,"in-house, privat sektor",annet,2400000,Ja
mann,1,1,Rogaland,konsulent,annet,650000,Ja
mann,3,0,Rogaland,konsulent,annet,570000,Ja
mann,5,8,Trøndelag,"in-house, privat sektor",annet,910000,Ja
mann,3,2,Trøndelag,"in-house, offentlig/kommunal sektor",annet,630000,Nei
mann,3,1,Trøndelag,"in-house, offentlig/kommunal sektor",annet,525000,Nei
mann,5,1,Trøndelag,konsulent,annet,570000,Ja
mann,5,10,utlandet,"in-house, privat sektor",annet,1200000,Ja
mann,4,23,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",annet,740000,Nei
mann,0,15,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",annet,930000,Nei
mann,3,5,Vestfold og Telemark,"in-house, privat sektor",annet,580000,Nei
mann,3,5,Vestfold og Telemark,"in-house, privat sektor",annet,750000,Ja
mann,14,20,Vestland,konsulent,annet,515000,Nei
mann,3,13,Vestland,"in-house, privat sektor",annet,925000,Nei
mann,3,7,Vestland,frilans / selvstendig næringsdrivende,annet,2400000,Nei
mann,20,30,Viken,"in-house, offentlig/kommunal sektor",annet,1014000,Nei
mann,6,24,Viken,"in-house, privat sektor",annet,1150000,Ja
mann,5,8,Viken,konsulent,annet,1500000,Ja
mann,3,5,Viken,konsulent,annet,950000,Nei
mann,2,0,Viken,"in-house, privat sektor",annet,485000,Nei
mann,7,12,Oslo,konsulent,annet,960000,Ja
mann,5,8,Oslo,frilans / selvstendig næringsdrivende,annet,1650000,Nei
mann,5,7,Oslo,"in-house, privat sektor",annet,840000,Ja
kvinne,5,1,Troms og Finnmark,konsulent,annet,1500000,Nei
mann,3,12,Vestland,"in-house, privat sektor",annet,310000,Nei
mann,2,8,Viken,"in-house, privat sektor",annet,683000,Nei
kvinne,3,7,Innlandet,"in-house, offentlig/kommunal sektor",app,780000,Nei
mann,3,0,Innlandet,"in-house, privat sektor",app,600000,Nei
mann,1,30,Oslo,frilans / selvstendig næringsdrivende,app,1500000,Ja
mann,4,28,Oslo,"in-house, privat sektor",app,1100000,Nei
mann,3,25,Oslo,"in-house, privat sektor",app,735000,Nei
mann,1,14,Oslo,"in-house, privat sektor",app,900000,Nei
mann,3,13,Oslo,konsulent,app,1100000,Ja
mann,7,12,Oslo,frilans / selvstendig næringsdrivende,app,940000,Ja
mann,3,12,Oslo,"in-house, privat sektor",app,1135000,Nei
mann,3,10,Oslo,"in-house, offentlig/kommunal sektor",app,910000,Nei
mann,6,10,Oslo,"in-house, privat sektor",app,950000,Nei
mann,3,10,Oslo,"in-house, offentlig/kommunal sektor",app,969000,Nei
mann,5,10,Oslo,konsulent,app,1000000,Ja
kvinne,5,9,Oslo,"in-house, privat sektor",app,970000,Nei
kvinne,3,9,Oslo,"in-house, privat sektor",app,1115000,Nei
mann,3,9,Oslo,"in-house, privat sektor",app,1090000,Ja
mann,3,9,Oslo,"in-house, privat sektor",app,1100000,Nei
mann,3,8,Oslo,"in-house, privat sektor",app,840099,Nei
mann,3,8,Oslo,"in-house, privat sektor",app,900000,Ja
mann,16,8,Oslo,"in-house, privat sektor",app,950000,Ja
mann,3,8,Oslo,"in-house, offentlig/kommunal sektor",app,1050000,Nei
kvinne,3,7,Oslo,"in-house, privat sektor",app,1100000,Nei
mann,5,6,Oslo,"in-house, privat sektor",app,750000,Ja
mann,8,6,Oslo,"in-house, privat sektor",app,950000,Ja
mann,6,6,Oslo,"in-house, privat sektor",app,1015000,Nei
